vaccineSchedule,challengeSerotype,bestNab,lowerCINAb,upperCINAb,medianDur,lowerCIDur,upperCIDur,sampleSize
IPVx1 & bOPVx2,2,5.65347,0.940712,25.756667,22,16,32,173
IPVx2,1,7.677028,2.844315,23.580732,20,16,26,72
IPVx2,2,4.593525,1.66226,13.797318,22,18,28,76
IPVx2,3,4.041893,1.369176,11.943476,24,18,30,70
IPVx2 & bOPVx1,2,6.001663,0.920532,32.098383,22,16,32,181
IPVx2 & tOPVx2,1,38.178344,9.209685,159.207464,14,10,20,28
IPVx2 & tOPVx2,2,134.414405,23.300059,860.74343,12,8,16,14
IPVx2 & tOPVx2,3,8.695027,1.648141,42.730747,20,14,28,21
IPVx3,1,8.11757,2.242126,27.081392,20,16,26,62
IPVx3,2,0.7973,0.0801,3.3544,32,24,54,177
IPVx3,3,0.674825,0.167253,2.600265,34,26,46,42
IPVx3 & tOPVx3,1,25.910814,5.660462,119.905896,16,12,22,18
IPVx3 & tOPVx3,2,84.326893,6.721959,807.547232,12,8,20,10
IPVx3 & tOPVx3,3,9.033543,1.818599,49.460757,20,14,28,13
IPVx4,1,3.661502,0.643316,15.841802,24,18,34,25
bOPVx3,2,5.56369,1.064135,25.763293,22,16,30,384
bOPVx3 & IPVx1,2,11.178989,1.849276,53.330869,18,14,28,193
bOPVx3 & IPVx2,2,13.667299,2.724133,64.214759,18,14,26,189
mOPV1x1,1,5.098812,1.180479,19.591617,22,16,30,54
naive-wpv,1,0.194446,0.072447,0.465578,44,36,54,282
natural immunity,1,98.584909,27.882964,445.446211,12,8,16,16
natural immunity,2,24.627116,5.668668,97.774591,16,12,22,8
natural immunity,3,55.100599,18.149789,176.327152,14,10,18,19
seronegative,1,1.752685,0.545919,6.360691,28,22,36,75
seronegative,2,1.950064,0.596672,5.993302,28,22,34,78
seronegative,3,0.38654,0.10794,1.264982,38,30,50,94
tOPVx1,1,10.504194,3.10585,43.879928,20,14,24,80
tOPVx1,2,5.793619,1.524663,21.212565,22,16,28,14
tOPVx1,3,1.51017,0.392002,6.448185,28,22,38,53
tOPVx2,1,114.179989,25.657689,658.391881,12,8,16,7
tOPVx2,2,849.678036,91.491538,11166.56207,8,4,12,7
tOPVx2,3,2.820203,0.485536,14.466231,26,18,36,10
tOPVx3,1,397.688254,88.404467,2442.946812,10,6,12,24
tOPVx3,2,1977.026113,412.02997,11551.24897,6,4,10,85
unvaccinated,1,1.240597,0.41362,3.926345,30,24,38,375
unvaccinated,2,1.213991,0.408627,3.543004,30,24,38,361
unvaccinated,3,0.433217,0.15408,1.301231,38,30,46,303
